,Candidate,Party,Votes,Constituency
2902,SHARIF PATEL ADVOCATE,Bahujan Mukti Party,193,Madhya Pradesh - DHAR 
2903,DHANNALAL MALVIYA,Prajatantrik Samadhan Party,148,Madhya Pradesh - DHAR 
2904,None of the Above,None of the Above,1615,Madhya Pradesh - DHAR 
2905,RAJVARDHAN SINGH - PREMSINGH DATTIGAW,Indian National Congress,84499,Madhya Pradesh - BADNAWAR
2906,BHANWARSINGH SHEKHAWAT,Bharatiya Janata Party,42993,Madhya Pradesh - BADNAWAR
2907,RAJESH AGRAWAL,Independent,30976,Madhya Pradesh - BADNAWAR
2908,VIKRAM SOLANKI,Gondvana Gantantra Party,2605,Madhya Pradesh - BADNAWAR
2909,SAMRATH KASHYAP DHARSIKHEDA,Bahujan Samaj Party,2099,Madhya Pradesh - BADNAWAR
2910,MUKESH KUMAR MANDLOI,Independent,1010,Madhya Pradesh - BADNAWAR
2911,SANDIP PANWAR,Prajatantrik Samadhan Party,409,Madhya Pradesh - BADNAWAR
2912,SHAILENDRA KUMAR,Aam Aadmi Party,398,Madhya Pradesh - BADNAWAR
2913,None of the Above,None of the Above,2656,Madhya Pradesh - BADNAWAR
2914,VISHAL JAGDISH PATEL,Indian National Congress,94981,Madhya Pradesh - DEPALPUR 
2915,MANOJ NIRBHAYSINGH PATEL,Bharatiya Janata Party,85937,Madhya Pradesh - DEPALPUR 
2916,BRAJESH KANNOJI (AHIRWAR),Bahujan Samaj Party,1340,Madhya Pradesh - DEPALPUR 
2917,BAHADUR SINGH MANDLOI,Aam Aadmi Party,1192,Madhya Pradesh - DEPALPUR 
2918,SHEIKH AZIJ,Independent,715,Madhya Pradesh - DEPALPUR 
2919,SOHAN PANCHAL,Independent,616,Madhya Pradesh - DEPALPUR 
2920,RAMCHARAN PATEL,Shiv Sena,400,Madhya Pradesh - DEPALPUR 
2921,RAJESH GUPTA,Independent,289,Madhya Pradesh - DEPALPUR 
2922,SOHAN SOLANKI (MALVI),Prajatantrik Samadhan Party,280,Madhya Pradesh - DEPALPUR 
2923,RAKESH  PATEL,Independent,180,Madhya Pradesh - DEPALPUR 
2924,GAJRAJ SINGH CHOUDHARY,Independent,179,Madhya Pradesh - DEPALPUR 
2925,NILESH NEEMA,Independent,153,Madhya Pradesh - DEPALPUR 
2926,None of the Above,None of the Above,1957,Madhya Pradesh - DEPALPUR 
2927,SANJAY SHUKLA,Indian National Congress,114555,Madhya Pradesh - INDORE-1
2928,SUDARSHAN GUPTA,Bharatiya Janata Party,106392,Madhya Pradesh - INDORE-1
2929,DHARAMDAS AHIRWAR,Bahujan Samaj Party,1365,Madhya Pradesh - INDORE-1
2930,SATISH KUMAR MALIK,Aam Aadmi Party,847,Madhya Pradesh - INDORE-1
2931,ARVIND SONI,Akhil Bharat Hindu Mahasabha,762,Madhya Pradesh - INDORE-1
2932,SUNIL SINGH SOLANKI,Independent,463,Madhya Pradesh - INDORE-1
2933,SANTOSH RADHESHYAM,Independent,462,Madhya Pradesh - INDORE-1
2934,VANSHIKA JAIN SANWALA,Sanjhi Virasat Party,228,Madhya Pradesh - INDORE-1
2935,VINAY JAGDISH KAROTIYA,Independent,182,Madhya Pradesh - INDORE-1
2936,MANISH KHOLWAL,Republican Party of India (A),175,Madhya Pradesh - INDORE-1
2937,BHARAT PRAJAPATI,Bhartiya Shakti Chetna Party,173,Madhya Pradesh - INDORE-1
2938,None of the Above,None of the Above,2409,Madhya Pradesh - INDORE-1
2939,RAMESH MENDOLA,Bharatiya Janata Party,138794,Madhya Pradesh - INDORE-2
2940,ADVOCATE MOHAN SINGH SENGAR,Indian National Congress,67783,Madhya Pradesh - INDORE-2
2941,JAYESH SHARMA ( LALU BHAIYA ),Bahujan Samaj Party,1902,Madhya Pradesh - INDORE-2
2942,ADVOCATE RUDRAPAL YADAV,Communist Party of India,1621,Madhya Pradesh - INDORE-2
2943,SATISH SHARMA,Aam Aadmi Party,1453,Madhya Pradesh - INDORE-2
2944,BALA VAISHWARA (KINNAR),Independent,1067,Madhya Pradesh - INDORE-2
2945,RAGHURAJ SINGH TOMAR,Sapaks Party,974,Madhya Pradesh - INDORE-2
2946,NAVIN CHOUKSE,Independent,325,Madhya Pradesh - INDORE-2
2947,AMJAD KHAN,Independent,198,Madhya Pradesh - INDORE-2
2948,None of the Above,None of the Above,2951,Madhya Pradesh - INDORE-2
2949,AKASH  KAILASH VIJAYVARGIYA,Bharatiya Janata Party,67075,Madhya Pradesh - INDORE-3
2950,ASHWIN JOSHI,Indian National Congress,61324,Madhya Pradesh - INDORE-3
2951,ABHAY KUMAR AGRAWAL,Sapaks Party,535,Madhya Pradesh - INDORE-3
2952,SURESH GOLIYA (AHIRWAR),Bahujan Samaj Party,461,Madhya Pradesh - INDORE-3
2953,MOHAMMAD MAKSOOD CHAUHAN,Aam Aadmi Party,309,Madhya Pradesh - INDORE-3
2954,SYED NIZAM AHMED,Independent,206,Madhya Pradesh - INDORE-3
2955,AKBAR AHMAD,Socialist Party (India),91,Madhya Pradesh - INDORE-3
2956,BHERU LAL CHOUHAN (SAGAR),Shiv Sena,63,Madhya Pradesh - INDORE-3
2957,ADVOCATE DEEPAK PAWAR,Swarnim Bharat Inquilab,59,Madhya Pradesh - INDORE-3
2958,NAVIN CHANDRA CHUTELE,Bahujan Mukti Party,55,Madhya Pradesh - INDORE-3
2959,None of the Above,None of the Above,1447,Madhya Pradesh - INDORE-3
2960,MALINI LAKSHMAN SINGH GAUR,Bharatiya Janata Party,102673,Madhya Pradesh - Indore-4
2961,SURJEET SINGH UJAGAR SINGH CHADDA,Indian National Congress,59583,Madhya Pradesh - Indore-4
2962,SATISH SHARMA ( SATYA 999 ),Sapaks Party,909,Madhya Pradesh - Indore-4
2963,RAJENDRA JAISWAL,Aam Aadmi Party,838,Madhya Pradesh - Indore-4
2964,RINKU GARG,Bahujan Samaj Party,636,Madhya Pradesh - Indore-4
2965,ABDUL RAHEEM,Bahujan Mukti Party,349,Madhya Pradesh - Indore-4
2966,SUNNY PARIYANI,Independent,318,Madhya Pradesh - Indore-4
2967,VIJAY SINGH VARMA,Independent,221,Madhya Pradesh - Indore-4
2968,NIRMALA PARMAR ( BHAWANI ),Shiv Sena,159,Madhya Pradesh - Indore-4
2969,"DR. B. P. TIWARI ""ATAL""",Independent,127,Madhya Pradesh - Indore-4
2970,DHARMPAL ARJUNDAS BANHANI,Republican Party of India (A),82,Madhya Pradesh - Indore-4
2971,None of the Above,None of the Above,2098,Madhya Pradesh - Indore-4
2972,MAHENDRA HARDIA,Bharatiya Janata Party,117836,Madhya Pradesh - INDORE-5
2973,SATYANARAYAN PATEL,Indian National Congress,116703,Madhya Pradesh - INDORE-5
2974,DONGAR SINGH GOYAL,Bahujan Samaj Party,1422,Madhya Pradesh - INDORE-5
2975,SHAILENDRA KUMARI RANAWAT,Aam Aadmi Party,878,Madhya Pradesh - INDORE-5
2976,KAILASH KUMAWAT,Shiv Sena,850,Madhya Pradesh - INDORE-5
2977,MUKESH KUMAR DWIVEDI,Sapaks Party,847,Madhya Pradesh - INDORE-5
2978,CHHOTELAL,Communist Party of India  (Marxist),689,Madhya Pradesh - INDORE-5
2979,ZAHEERUDEEN,Minorities Democratic Party,582,Madhya Pradesh - INDORE-5
2980,SANTOSH MEENA,The Imperial Party of India,387,Madhya Pradesh - INDORE-5
2981,MOHAMMAD IMTIYAZ KHAN,Independent,350,Madhya Pradesh - INDORE-5
2982,ASHOK BALKISHAN,Independent,296,Madhya Pradesh - INDORE-5
2983,BHUPENDRA CHAURASIA,Sampoorna Samaj Party,191,Madhya Pradesh - INDORE-5
2984,PRABHUDAYAL,Prajatantrik Samadhan Party,131,Madhya Pradesh - INDORE-5
2985,None of the Above,None of the Above,2786,Madhya Pradesh - INDORE-5
2986,USHA THAKUR,Bharatiya Janata Party,97009,Madhya Pradesh - DR.AMBEDKAR NAGAR -Mhow 
2987,ANTAR SINGH DARBAR,Indian National Congress,89852,Madhya Pradesh - DR.AMBEDKAR NAGAR -Mhow 
2988,PRADEEP,Bahujan Samaj Party,1426,Madhya Pradesh - DR.AMBEDKAR NAGAR -Mhow 
2989,ARJUN,Communist Party of India  (Marxist),1075,Madhya Pradesh - DR.AMBEDKAR NAGAR -Mhow 
2990,CHHAGANLAL,Bhartiya Tribal Party,990,Madhya Pradesh - DR.AMBEDKAR NAGAR -Mhow 
2991,RAJKAPOOR VERMA,Independent,852,Madhya Pradesh - DR.AMBEDKAR NAGAR -Mhow 
2992,USHA THAKUR,Independent,392,Madhya Pradesh - DR.AMBEDKAR NAGAR -Mhow 
2993,SHAILENDRA SHARMA,Independent,307,Madhya Pradesh - DR.AMBEDKAR NAGAR -Mhow 
2994,AMIT SINGHAL,Aam Aadmi Party,218,Madhya Pradesh - DR.AMBEDKAR NAGAR -Mhow 
2995,SMT. MAYA VERMA,Janata Congress,203,Madhya Pradesh - DR.AMBEDKAR NAGAR -Mhow 
2996,ASHOK MISHRA,Sapaks Party,170,Madhya Pradesh - DR.AMBEDKAR NAGAR -Mhow 
2997,None of the Above,None of the Above,2073,Madhya Pradesh - DR.AMBEDKAR NAGAR -Mhow 
2998,JITU PATWARI,Indian National Congress,107740,Madhya Pradesh - RAU 
2999,MADHU VERMA,Bharatiya Janata Party,102037,Madhya Pradesh - RAU 
3000,RAJU YADAV,Bahujan Samaj Party,1172,Madhya Pradesh - RAU 
3001,VIRENDRA CHANDEVA,Independent,531,Madhya Pradesh - RAU 
3002,VIJAY JAT,Aam Aadmi Party,494,Madhya Pradesh - RAU 
3003,MADHU VERMA,Independent,488,Madhya Pradesh - RAU 
3004,JITENDRA SHARMA,Sapaks Party,456,Madhya Pradesh - RAU 
3005,PANKAJ GUPTE,Independent,106,Madhya Pradesh - RAU 
3006,MAMTA DWIVEDI,Sanjhi Virasat Party,101,Madhya Pradesh - RAU 
3007,NARENDRA,Independent,87,Madhya Pradesh - RAU 
3008,None of the Above,None of the Above,2475,Madhya Pradesh - RAU 
3009,TULSIRAM SILAWAT,Indian National Congress,96535,Madhya Pradesh - SANWER
3010,DR.RAJESH SONKAR,Bharatiya Janata Party,93590,Madhya Pradesh - SANWER
3011,KAMAL CHOUHAN,Bahujan Samaj Party,2844,Madhya Pradesh - SANWER
3012,ANIL CHOUHAN,Bahujan Sangharshh Dal,996,Madhya Pradesh - SANWER
3013,RAHUL KHARE,Sampoorna Samaj Party,785,Madhya Pradesh - SANWER
3014,RAHUL SILAWAT,Independent,690,Madhya Pradesh - SANWER
3015,NARENDRA BOURASI,Independent,555,Madhya Pradesh - SANWER
3016,BRAMHANAND MALVIYA,Aam Aadmi Party,538,Madhya Pradesh - SANWER
